# BUSCO version is: 5.7.1 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length
834694at2759	Complete	augustus_predicted_4051	394.7	326
836599at2759	Complete	augustus_predicted_2290	333.6	304
844748at2759	Complete	augustus_predicted_4997	207.5	313
855834at2759	Complete	augustus_predicted_1538	157.7	305
858842at2759	Complete	augustus_predicted_4832	210.9	230
865202at2759	Complete	augustus_predicted_1669	190.6	178
866359at2759	Complete	augustus_predicted_3977	335.4	260
869548at2759	Complete	augustus_predicted_3373	174.2	186
878143at2759	Complete	augustus_predicted_941	343.0	326
887370at2759	Complete	augustus_predicted_3097	292.4	295
891751at2759	Complete	augustus_predicted_3490	241.7	220
898782at2759	Complete	augustus_predicted_4305	245.9	299
901894at2759	Fragmented	augustus_predicted_1841	122.7	156
905026at2759	Complete	augustus_predicted_1624	314.8	397
911863at2759	Complete	augustus_predicted_2996	170.3	187
917326at2759	Complete	augustus_predicted_373	374.8	426
918816at2759	Complete	augustus_predicted_1957	104.5	211
919955at2759	Complete	augustus_predicted_569	228.9	241
923657at2759	Complete	augustus_predicted_2050	144.9	163
924753at2759	Complete	augustus_predicted_1015	196.8	232
931188at2759	Complete	augustus_predicted_4689	311.5	346
937275at2759	Complete	augustus_predicted_349	61.3	87
937686at2759	Complete	augustus_predicted_85	373.7	338
939345at2759	Complete	augustus_predicted_214	79.6	100
944899at2759	Complete	augustus_predicted_4150	364.2	230
946128at2759	Complete	augustus_predicted_468	288.9	446
956854at2759	Missing
973442at2759	Complete	augustus_predicted_3286	87.8	168
974865at2759	Complete	augustus_predicted_1716	214.7	227
975158at2759	Complete	augustus_predicted_2267	131.4	216
975557at2759	Complete	augustus_predicted_4040	376.2	425
976469at2759	Missing
981902at2759	Complete	augustus_predicted_2843	101.7	214
996662at2759	Complete	augustus_predicted_442	200.6	194
1001705at2759	Complete	augustus_predicted_5156	186.7	260
1003258at2759	Missing
1010730at2759	Complete	augustus_predicted_4849	378.5	274
1014314at2759	Complete	augustus_predicted_4810	109.3	183
1018517at2759	Complete	augustus_predicted_2645	299.3	203
1019762at2759	Complete	augustus_predicted_3163	113.0	377
1025450at2759	Complete	augustus_predicted_3704	175.0	302
1030907at2759	Complete	augustus_predicted_1256	246.9	274
1032689at2759	Complete	augustus_predicted_745	177.6	156
1038775at2759	Missing
1041560at2759	Complete	augustus_predicted_3673	197.5	251
1049599at2759	Missing
1051021at2759	Complete	augustus_predicted_4978	289.7	282
1053181at2759	Missing
1057950at2759	Complete	augustus_predicted_852	220.9	227
1065019at2759	Complete	augustus_predicted_5061	306.4	250
1076134at2759	Complete	augustus_predicted_3666	204.9	184
1079130at2759	Complete	augustus_predicted_4571	307.8	244
1079827at2759	Complete	augustus_predicted_2390	338.1	223
1085752at2759	Complete	augustus_predicted_3270	161.5	220
1087488at2759	Complete	augustus_predicted_3614	152.1	242
1090038at2759	Complete	augustus_predicted_814	128.2	130
1094121at2759	Complete	augustus_predicted_930	101.6	125
1096688at2759	Complete	augustus_predicted_903	334.4	211
1106766at2759	Complete	augustus_predicted_4511	161.6	212
1107630at2759	Complete	augustus_predicted_3177	257.8	208
1108845at2759	Missing
1111142at2759	Complete	augustus_predicted_4472	142.5	280
1112002at2759	Complete	augustus_predicted_2690	397.8	520
1115196at2759	Complete	augustus_predicted_3414	358.2	277
1128607at2759	Complete	augustus_predicted_3378	293.6	208
1129824at2759	Complete	augustus_predicted_1942	88.9	133
1138059at2759	Complete	augustus_predicted_4233	283.8	206
1157302at2759	Complete	augustus_predicted_3385	367.4	203
1161199at2759	Complete	augustus_predicted_3631	32.7	130
1173229at2759	Complete	augustus_predicted_3512	63.4	168
1178688at2759	Complete	augustus_predicted_456	97.2	140
1182451at2759	Complete	augustus_predicted_1104	123.5	145
1193442at2759	Complete	augustus_predicted_4575	288.4	257
1194691at2759	Complete	augustus_predicted_3459	299.3	288
1194797at2759	Complete	augustus_predicted_1425	305.9	443
1197019at2759	Complete	augustus_predicted_826	150.5	147
1200489at2759	Complete	augustus_predicted_4829	102.5	103
1217666at2759	Complete	augustus_predicted_2520	203.8	151
1220881at2759	Complete	augustus_predicted_3421	97.3	163
1222562at2759	Complete	augustus_predicted_1124	160.5	115
1223488at2759	Complete	augustus_predicted_1093	59.9	77
1228942at2759	Complete	augustus_predicted_4731	190.4	163
1233814at2759	Fragmented	augustus_predicted_2936	114.5	95
1236198at2759	Missing
1247641at2759	Missing
1248958at2759	Complete	augustus_predicted_1761	577.2	616
1249159at2759	Complete	augustus_predicted_220	115.0	151
1251252at2759	Complete	augustus_predicted_2980	72.1	80
1257440at2759	Complete	augustus_predicted_2275	155.2	127
1258856at2759	Complete	augustus_predicted_3337	339.7	560
1259741at2759	Complete	augustus_predicted_485	338.3	216
1260807at2759	Complete	augustus_predicted_3226	240.0	205
1264469at2759	Complete	augustus_predicted_385	166.6	146
1266231at2759	Complete	augustus_predicted_2658	277.4	187
1269244at2759	Complete	augustus_predicted_338	74.0	112
1269649at2759	Complete	augustus_predicted_1238	274.0	165
1275837at2759	Complete	augustus_predicted_1340	346.4	244
1284731at2759	Complete	augustus_predicted_1001	93.2	114
1287094at2759	Complete	augustus_predicted_3913	121.0	127
1287401at2759	Complete	augustus_predicted_3259	242.9	162
1291729at2759	Complete	augustus_predicted_997	54.3	106
1304061at2759	Complete	augustus_predicted_4836	173.1	129
1309031at2759	Complete	augustus_predicted_2592	208.5	341
1312453at2759	Complete	augustus_predicted_4451	516.2	639
1314980at2759	Complete	augustus_predicted_2601	279.1	445
1322299at2759	Complete	augustus_predicted_607	212.4	282
1322642at2759	Duplicated	augustus_predicted_1084	142.5	156
1322642at2759	Duplicated	augustus_predicted_5141	145.8	142
1323575at2759	Complete	augustus_predicted_3417	152.2	113
1324510at2759	Complete	augustus_predicted_524	240.4	235
1338131at2759	Missing
1339553at2759	Missing
1342242at2759	Complete	augustus_predicted_945	131.4	172
1346165at2759	Complete	augustus_predicted_3701	291.7	265
1346432at2759	Complete	augustus_predicted_1558	111.8	137
1348942at2759	Complete	augustus_predicted_3874	88.3	150
1355894at2759	Complete	augustus_predicted_3479	166.2	139
1358374at2759	Complete	augustus_predicted_1192	244.6	204
1364586at2759	Complete	augustus_predicted_1122	103.6	143
1370285at2759	Complete	augustus_predicted_4983	153.3	360
1370304at2759	Complete	augustus_predicted_2226	165.8	385
1377237at2759	Complete	augustus_predicted_3408	136.0	139
1379600at2759	Complete	augustus_predicted_827	225.0	478
1380409at2759	Missing
1382842at2759	Complete	augustus_predicted_790	102.4	116
1395649at2759	Missing
1398309at2759	Complete	augustus_predicted_4265	59.3	91
1404162at2759	Complete	augustus_predicted_4421	143.6	202
1405073at2759	Complete	augustus_predicted_3193	225.8	158
1405146at2759	Complete	augustus_predicted_3687	103.0	129
1407446at2759	Fragmented	augustus_predicted_2555	36.8	51
1421503at2759	Complete	augustus_predicted_3220	166.2	108
1423847at2759	Complete	augustus_predicted_1111	230.3	257
1426075at2759	Complete	augustus_predicted_4582	68.0	96
1428265at2759	Complete	augustus_predicted_3189	154.0	207
1428854at2759	Complete	augustus_predicted_3463	375.9	349
1430056at2759	Complete	augustus_predicted_1522	110.9	124
1432328at2759	Complete	augustus_predicted_5026	220.1	179
1434266at2759	Complete	augustus_predicted_621	93.5	149
1440961at2759	Complete	augustus_predicted_1429	37.2	153
1441854at2759	Complete	augustus_predicted_902	233.7	189
1442062at2759	Complete	augustus_predicted_4918	98.0	195
1445102at2759	Complete	augustus_predicted_3524	179.2	190
1450538at2759	Complete	augustus_predicted_2654	82.7	137
1454155at2759	Complete	augustus_predicted_596	70.9	88
1455730at2759	Fragmented	augustus_predicted_5125	131.5	258
1459797at2759	Complete	augustus_predicted_4893	75.8	95
1474000at2759	Complete	augustus_predicted_3293	82.2	137
1479417at2759	Complete	augustus_predicted_2426	277.7	167
1488235at2759	Complete	augustus_predicted_71	161.7	138
1488436at2759	Complete	augustus_predicted_3528	121.8	62
1490022at2759	Complete	augustus_predicted_857	165.7	170
1504863at2759	Complete	augustus_predicted_419	79.0	98
1513531at2759	Complete	augustus_predicted_883	151.6	190
1525971at2759	Complete	augustus_predicted_4548	91.8	79
1526152at2759	Missing
1530008at2759	Complete	augustus_predicted_3010	131.2	88
1538526at2759	Complete	augustus_predicted_35	140.2	93
1545004at2759	Duplicated	augustus_predicted_863	69.3	72
1545004at2759	Duplicated	augustus_predicted_746	68.7	65
1552706at2759	Complete	augustus_predicted_3758	86.1	91
1558822at2759	Complete	augustus_predicted_2408	83.6	65
1563319at2759	Missing
1567796at2759	Complete	augustus_predicted_2018	124.0	132
1575179at2759	Missing
1576404at2759	Complete	augustus_predicted_347	64.0	142
1588798at2759	Complete	augustus_predicted_1707	81.9	91
1593937at2759	Complete	augustus_predicted_1852	48.3	125
1617752at2759	Complete	augustus_predicted_2008	114.6	93
1620056at2759	Complete	augustus_predicted_3453	44.8	71
1623701at2759	Complete	augustus_predicted_1767	97.4	91
1626636at2759	Fragmented	augustus_predicted_131	56.7	80
1633672at2759	Fragmented	augustus_predicted_2864	105.6	81
1645187at2759	Complete	augustus_predicted_3910	32.9	36
