# BUSCO version is: 5.7.1 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length
426305at2759	Complete	augustus_predicted_704	465.3	466
450058at2759	Complete	augustus_predicted_4292	187.8	254
453044at2759	Complete	augustus_predicted_2720	318.3	300
457861at2759	Fragmented	augustus_predicted_7602	55.7	94
464990at2759	Complete	augustus_predicted_7131	379.2	373
491869at2759	Complete	augustus_predicted_4536	198.1	232
513979at2759	Complete	augustus_predicted_5135	156.1	240
543764at2759	Complete	augustus_predicted_3075	146.6	214
549762at2759	Complete	augustus_predicted_8610	474.1	349
551907at2759	Complete	augustus_predicted_363	306.9	346
570797at2759	Complete	augustus_predicted_2373	494.8	445
582756at2759	Missing
598949at2759	Complete	augustus_predicted_3305	377.9	391
604979at2759	Complete	augustus_predicted_4417	390.6	300
621827at2759	Complete	augustus_predicted_5688	310.4	324
625387at2759	Complete	augustus_predicted_8279	289.5	332
655400at2759	Complete	augustus_predicted_3999	261.6	251
664730at2759	Complete	augustus_predicted_2775	633.9	348
671536at2759	Complete	augustus_predicted_2509	516.9	362
671846at2759	Complete	augustus_predicted_372	176.0	384
673132at2759	Complete	augustus_predicted_364	258.8	266
674160at2759	Complete	augustus_predicted_3649	734.8	953
674169at2759	Complete	augustus_predicted_1685	168.4	221
679187at2759	Complete	augustus_predicted_4694	399.4	410
679771at2759	Complete	augustus_predicted_3342	99.2	183
687505at2759	Complete	augustus_predicted_4409	174.3	212
692986at2759	Complete	augustus_predicted_5453	296.1	381
708105at2759	Complete	augustus_predicted_4369	123.4	204
719531at2759	Complete	augustus_predicted_908	257.0	185
720340at2759	Complete	augustus_predicted_4674	143.8	214
721605at2759	Complete	augustus_predicted_3868	327.7	243
722805at2759	Complete	augustus_predicted_5464	313.0	387
734341at2759	Complete	augustus_predicted_6464	90.2	150
734666at2759	Complete	augustus_predicted_1994	474.9	374
736068at2759	Complete	augustus_predicted_3736	193.9	235
751335at2759	Complete	augustus_predicted_352	205.2	231
759498at2759	Complete	augustus_predicted_204	553.0	418
761109at2759	Complete	augustus_predicted_3028	406.4	322
768809at2759	Fragmented	augustus_predicted_3319	173.3	149
774318at2759	Fragmented	augustus_predicted_1417	187.3	149
777920at2759	Complete	augustus_predicted_3764	419.7	339
779909at2759	Complete	augustus_predicted_234	269.7	226
801857at2759	Complete	augustus_predicted_6951	216.4	203
814241at2759	Complete	augustus_predicted_1359	245.6	304
817008at2759	Complete	augustus_predicted_3716	443.0	299
834694at2759	Complete	augustus_predicted_982	435.6	337
836599at2759	Complete	augustus_predicted_7139	416.0	330
844748at2759	Complete	augustus_predicted_8588	292.4	367
855834at2759	Complete	augustus_predicted_1213	234.5	306
858842at2759	Complete	augustus_predicted_6466	261.7	224
865202at2759	Complete	augustus_predicted_1354	183.1	188
866359at2759	Complete	augustus_predicted_6922	365.8	264
869548at2759	Complete	augustus_predicted_8475	202.8	193
878143at2759	Complete	augustus_predicted_5858	380.8	313
887370at2759	Complete	augustus_predicted_2052	372.7	345
891751at2759	Complete	augustus_predicted_1823	268.6	218
898782at2759	Complete	augustus_predicted_7013	208.4	239
901894at2759	Complete	augustus_predicted_2088	238.1	269
905026at2759	Complete	augustus_predicted_3018	323.5	387
911863at2759	Complete	augustus_predicted_1232	220.9	169
917326at2759	Complete	augustus_predicted_2784	398.0	345
918816at2759	Complete	augustus_predicted_5884	126.4	216
919955at2759	Complete	augustus_predicted_3870	271.5	262
923657at2759	Complete	augustus_predicted_5592	175.0	168
924753at2759	Complete	augustus_predicted_3936	203.1	230
931188at2759	Complete	augustus_predicted_5874	371.4	303
937275at2759	Complete	augustus_predicted_7172	71.0	89
937686at2759	Complete	augustus_predicted_5566	432.3	336
939345at2759	Complete	augustus_predicted_8845	86.9	100
944899at2759	Complete	augustus_predicted_4693	368.5	224
946128at2759	Complete	augustus_predicted_7884	390.7	458
956854at2759	Complete	augustus_predicted_3306	130.7	176
973442at2759	Complete	augustus_predicted_1334	118.8	173
974865at2759	Complete	augustus_predicted_1775	195.7	227
975158at2759	Complete	augustus_predicted_5660	153.8	205
975557at2759	Complete	augustus_predicted_8668	529.6	459
976469at2759	Complete	augustus_predicted_300	224.2	229
981902at2759	Complete	augustus_predicted_8542	173.7	213
996662at2759	Complete	augustus_predicted_4469	177.8	207
1001705at2759	Complete	augustus_predicted_740	254.2	268
1003258at2759	Complete	augustus_predicted_6565	288.2	282
1010730at2759	Complete	augustus_predicted_1396	391.2	274
1014314at2759	Complete	augustus_predicted_3932	193.9	206
1018517at2759	Complete	augustus_predicted_828	290.4	209
1019762at2759	Complete	augustus_predicted_3548	255.2	378
1025450at2759	Duplicated	augustus_predicted_8796	192.9	284
1025450at2759	Duplicated	augustus_predicted_2291	168.5	225
1030907at2759	Complete	augustus_predicted_4794	296.9	278
1032689at2759	Complete	augustus_predicted_6088	152.3	146
1038775at2759	Complete	augustus_predicted_217	163.7	202
1041560at2759	Complete	augustus_predicted_289	216.8	250
1049599at2759	Complete	augustus_predicted_5178	345.1	338
1051021at2759	Complete	augustus_predicted_7732	297.4	310
1053181at2759	Complete	augustus_predicted_4893	66.0	163
1057950at2759	Complete	augustus_predicted_3797	229.3	227
1065019at2759	Complete	augustus_predicted_5915	308.7	251
1076134at2759	Complete	augustus_predicted_1235	254.8	185
1079130at2759	Fragmented	augustus_predicted_4680	145.3	158
1079827at2759	Complete	augustus_predicted_6990	347.2	223
1085752at2759	Complete	augustus_predicted_1805	232.3	229
1087488at2759	Complete	augustus_predicted_6041	250.9	285
1090038at2759	Complete	augustus_predicted_7725	146.3	132
1094121at2759	Complete	augustus_predicted_3923	108.7	129
1096688at2759	Complete	augustus_predicted_7919	330.0	214
1106766at2759	Complete	augustus_predicted_1230	168.4	216
1107630at2759	Complete	augustus_predicted_8878	249.6	207
1108845at2759	Complete	augustus_predicted_5558	467.6	326
1111142at2759	Complete	augustus_predicted_3011	228.8	286
1112002at2759	Complete	augustus_predicted_5872	371.0	509
1115196at2759	Complete	augustus_predicted_4329	359.1	257
1128607at2759	Complete	augustus_predicted_4975	346.5	244
1129824at2759	Complete	augustus_predicted_1759	103.5	133
1138059at2759	Complete	augustus_predicted_7672	289.9	207
1157302at2759	Complete	augustus_predicted_6064	364.0	203
1161199at2759	Complete	augustus_predicted_881	102.4	134
1173229at2759	Complete	augustus_predicted_7606	82.6	198
1178688at2759	Complete	augustus_predicted_4294	110.3	140
1182451at2759	Complete	augustus_predicted_2314	157.2	141
1193442at2759	Complete	augustus_predicted_152	293.4	258
1194691at2759	Complete	augustus_predicted_2193	344.1	283
1194797at2759	Complete	augustus_predicted_1168	425.0	440
1197019at2759	Complete	augustus_predicted_2777	180.9	146
1200489at2759	Complete	augustus_predicted_5180	96.2	96
1217666at2759	Complete	augustus_predicted_7998	193.9	176
1220881at2759	Complete	augustus_predicted_1383	135.1	140
1222562at2759	Complete	augustus_predicted_7746	152.2	117
1223488at2759	Complete	augustus_predicted_1326	68.4	91
1228942at2759	Complete	augustus_predicted_7677	193.9	163
1233814at2759	Complete	augustus_predicted_229	170.7	137
1236198at2759	Missing
1247641at2759	Complete	augustus_predicted_5336	187.2	172
1248958at2759	Complete	augustus_predicted_4867	623.7	615
1249159at2759	Complete	augustus_predicted_3915	145.8	151
1251252at2759	Complete	augustus_predicted_4825	49.4	80
1257440at2759	Complete	augustus_predicted_286	163.5	128
1258856at2759	Complete	augustus_predicted_5184	579.0	582
1259741at2759	Complete	augustus_predicted_681	392.3	228
1260807at2759	Complete	augustus_predicted_2003	244.1	221
1264469at2759	Complete	augustus_predicted_5587	179.2	142
1266231at2759	Complete	augustus_predicted_7148	279.9	188
1269244at2759	Complete	augustus_predicted_3938	77.1	117
1269649at2759	Complete	augustus_predicted_7675	266.3	166
1275837at2759	Complete	augustus_predicted_7552	379.7	244
1284731at2759	Complete	augustus_predicted_5719	78.5	116
1287094at2759	Complete	augustus_predicted_206	138.6	115
1287401at2759	Complete	augustus_predicted_4287	249.6	163
1291729at2759	Complete	augustus_predicted_7878	56.2	86
1304061at2759	Complete	augustus_predicted_3779	167.4	129
1309031at2759	Complete	augustus_predicted_680	257.1	338
1312453at2759	Complete	augustus_predicted_963	675.6	636
1314980at2759	Complete	augustus_predicted_6843	344.2	436
1322299at2759	Complete	augustus_predicted_819	370.6	301
1322642at2759	Fragmented	augustus_predicted_8818	89.5	99
1323575at2759	Complete	augustus_predicted_5349	156.3	113
1324510at2759	Complete	augustus_predicted_4309	294.8	250
1338131at2759	Complete	augustus_predicted_5216	228.2	143
1339553at2759	Complete	augustus_predicted_3765	247.7	235
1342242at2759	Complete	augustus_predicted_1462	160.3	170
1346165at2759	Complete	augustus_predicted_6889	338.5	242
1346432at2759	Complete	augustus_predicted_752	104.3	140
1348942at2759	Complete	augustus_predicted_1400	122.7	195
1355894at2759	Complete	augustus_predicted_7161	181.2	139
1358374at2759	Complete	augustus_predicted_5195	257.4	206
1364586at2759	Fragmented	augustus_predicted_1217	69.0	108
1370285at2759	Complete	augustus_predicted_3862	350.1	401
1370304at2759	Complete	augustus_predicted_4487	269.8	373
1377237at2759	Complete	augustus_predicted_4751	146.0	139
1379600at2759	Complete	augustus_predicted_7171	451.3	495
1380409at2759	Complete	augustus_predicted_3815	190.3	135
1382842at2759	Complete	augustus_predicted_4667	98.3	115
1395649at2759	Complete	augustus_predicted_1815	72.8	116
1398309at2759	Complete	augustus_predicted_8774	97.5	92
1404162at2759	Complete	augustus_predicted_8886	154.1	184
1405073at2759	Complete	augustus_predicted_7464	204.5	158
1405146at2759	Complete	augustus_predicted_7974	120.1	116
1407446at2759	Complete	augustus_predicted_4439	57.6	86
1421503at2759	Fragmented	augustus_predicted_4434	156.9	86
1423847at2759	Complete	augustus_predicted_1762	223.6	256
1426075at2759	Complete	augustus_predicted_4457	48.2	78
1428265at2759	Complete	augustus_predicted_4752	166.5	165
1428854at2759	Complete	augustus_predicted_1109	393.2	350
1430056at2759	Complete	augustus_predicted_1734	105.2	105
1432328at2759	Complete	augustus_predicted_8882	230.1	179
1434266at2759	Complete	augustus_predicted_3646	89.4	129
1440961at2759	Complete	augustus_predicted_3965	86.2	150
1441854at2759	Fragmented	augustus_predicted_8672	208.4	116
1442062at2759	Complete	augustus_predicted_1459	97.9	138
1445102at2759	Complete	augustus_predicted_5393	281.5	190
1450538at2759	Complete	augustus_predicted_1269	137.7	142
1454155at2759	Complete	augustus_predicted_1954	29.6	72
1455730at2759	Complete	augustus_predicted_3186	433.1	354
1459797at2759	Complete	augustus_predicted_688	85.2	95
1474000at2759	Complete	augustus_predicted_4312	101.0	122
1479417at2759	Duplicated	augustus_predicted_4781	283.8	176
1479417at2759	Duplicated	augustus_predicted_3586	289.4	167
1488235at2759	Missing
1488436at2759	Complete	augustus_predicted_7160	108.3	61
1490022at2759	Complete	augustus_predicted_1678	171.6	160
1504863at2759	Missing
1513531at2759	Complete	augustus_predicted_5638	230.1	185
1525971at2759	Missing
1526152at2759	Complete	augustus_predicted_501	96.0	85
1530008at2759	Complete	augustus_predicted_7793	129.1	85
1538526at2759	Complete	augustus_predicted_852	105.5	93
1545004at2759	Missing
1552706at2759	Complete	augustus_predicted_902	99.7	91
1558822at2759	Missing
1563319at2759	Complete	augustus_predicted_5606	96.8	134
1567796at2759	Complete	augustus_predicted_5732	143.0	132
1575179at2759	Missing
1576404at2759	Complete	augustus_predicted_4470	155.4	139
1588798at2759	Complete	augustus_predicted_7460	90.4	75
1593937at2759	Complete	augustus_predicted_3841	57.5	142
1617752at2759	Complete	augustus_predicted_2510	126.7	94
1620056at2759	Complete	augustus_predicted_5177	68.9	81
1623701at2759	Complete	augustus_predicted_4616	122.9	101
1626636at2759	Complete	augustus_predicted_833	91.5	118
1633672at2759	Missing
1645187at2759	Complete	augustus_predicted_5586	48.9	46
